Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Initiate Battery Charge (BATT B)	866400	MISSION_TIME							-1	1	Battery Charge B		
G&N Power Down	867600	MISSION_TIME							-1	1	G&N Power Down		
Copy Block Data 26	869940	MISSION_TIME							-1	1			
Terminate Battery Charge	877200	MISSION_TIME							-1	1	Terminate Battery Charge		
ECS Redundant Component Check	880200	MISSION_TIME							-1	1	ECS Redundant Component Check		
H2 PURGE LINE HTR - ON	884400	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	1	1			
Fuel Cell H2 Purge	885600	MISSION_TIME							-1	1	Fuel Cell H2 Purging		
H2 PURGE LINE HTR - OFF	886500	MISSION_TIME					"Panel 3, Lower Left"	H2PurgeLineSwitch	0	1			
Copy Block Data 27	896160	MISSION_TIME							-1	1			
Initiate Cabin Cold Soak	899400	MISSION_TIME							-1	1	Activate Cabin Cold Soak		
Fuel Cell O2 Purge	915600	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
G&N Power Up	916800	MISSION_TIME							-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
State Vector Update	918000	MISSION_TIME							-1	1	P27 Auto Update		
Record Systems Data (Column 12)	923400	MISSION_TIME							-1	0			
Copy Maneuver PAD	926400	MISSION_TIME							-1	1			
State Vector Update									-1	1	P27 Auto Update		
Copy Entry PAD	926700	MISSION_TIME							-1	1			
Deorbit Preparations									-1	1	Deorbit Preparations		
SPS Deorbit & Entry									-1	1	SPS Deorbit		
